SMILES,LOAEL_log_mmol_kg_bw_day
CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O,4.92021372679140
Oc(c(c(c(c1Cl)Cl)Cl)Cl)c1Cl,4.42543075349016
NC(=N)NC(=N)NCCc1ccccc1,3.44898061811695
COP(=S)(OC)SCN2C(=O)c1ccccc1C2(=O),4.20046887469431
CCN(CC)C(=O)C(Cl)=C(C)OP(=O)(OC)OC,4.38676470716829
ClC3C6(Cl)C4C2C1OC1C5C2C3(Cl)C(Cl)(C45)C6(Cl)Cl,5.73572355899233
O=C(OC(=O)c1cccc2)c12,2.09688233455707
Nc1c(Cl)c(Cl)nc(C(=O)(O))c1Cl,3.60469254298773
CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1,5.08683453410041
Nc3ccc2cc1ccc(N)cc1nc2c3,3.64856042750458
CCC(=O)Nc1ccc(Cl)c(Cl)c1,4.03758556402413
Clc1cc(Cl)ccc1C2(Cn3ncnc3)OC(CCC)CO2,4.13636586052483
O=C(N)c(nccn1)c1,2.19322585277166
Oc1cc(O)c2C(=O)C(O)=C(c3cc(O)c(O)cc3)Oc2c1,2.17199481319419
CCC(O)(C)C#C,3.32910149752408
CC(C(NCC)=C1)=CC(C1=O2)=C(C(C2=C3)=CC(C)=C3NCC)C(=CC=C4)C(=C4)C(=O)OCC,4.56776852431159
O=C(NS(=O)(=O)c1cccc2)c12,1.70634501494627
c1cc(Cl)ccc1C2SC(=O)N(C(=O)NC3CCCCC3)C2C,3.34350563448343
n(c(nc(n1)NCC)NCC)c1Cl,4.60564260851438
O=[S](NC1CCCCC1)(=O)[O-].[Na+],1.74712743618051
O=C(OCC(C1OCC(C1O)O)O)CCCCCCCCCCC,1.70187402783236
O(CC1O)C(C1O)C(O)COC(=O)CCCCCCCCCCCCCCCCC,1.77657920852493
O=S(=O)(Nc(nc(cc1C)C)n1)c(ccc(N)c2)c2,3.92604632938062
CCNc1nc(NC(C)(C)C)nc(SC)n1,4.2065674883771
Oc(c(cc(c1)C(C)(C)C)Cl)c1,2.93192524190336
C(C(Cl)Cl)(Cl)Cl,3.19149572716769
COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,3.5634357799466
CCN(CC)C(=O)SCc1ccc(Cl)cc1,4.71227844003234
COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,4.0293761165818
N(C(=S)SSC(N(C)C)=S)(C)C,4.20490259955842
c12OC(CCCC(C)CCCC(C)CCCC(C)C)(C)CCc1c(C)c(OC(=O)C)c(C)c2C,2.37359490910830
Cc1cc(N)ccc1NOS(O)(=O)=O,3.07409722667645
C(Br)(C(Br)(Br)Br)C1C(C)(C)C1C(=O)OC(C(#N))c2cccc(Oc3ccccc3)c2,5.34570506657104
O=C(O)COc(c(cc(c1Cl)Cl)Cl)c1,4.40736115725459
FC(F)(F)C(=CC(N(=O)=O)=C1N(C(C)C)C(C)C)C=C1N(=O)=O,3.92334642542511
Cc1cc(C)c(N)cc1C,3.33165612180841
CC(O)(C(O)C(O1)C)CC1(C)OC(C(C)O2)C(C(O)C2(C)OC(C(C)C(O)CC(=O)OC(CC)C3COC(C(OC)C4OC)OC(C)C4O)C(CC=O)CC(C)C(=O)C=CC(=C3)C)N(C)C,3.27607248348466
c1c(Cl)cc(Cl)cc1N2C(=O)C(C)(C=C)OC2(=O),3.59380666266014
O=C(OC(CCCC(O)CCCCCc1cc(O)cc2O)C)c12,6.20735970305
COC(=O)C1(C2=CC=CC=C2C3=C1C=C(C=C3)Cl)O,3.26276588262396
CC(C(=O)O)OC1=CC(=CC=C1)Cl,3.30237197471763
P12P3P1P23,1.92514612424786
C(CO)O,2.19080664059838
CCCCOCC(C)OCC(C)O,3.17218289921228
C(CO)O,1.49183663626236
C(CO)O,1.82907880458079
[O-][As](=O)([O-])[O-],4.34688225631145
[Si](CN1C=NC=N1)(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F,5.1159116373222
N(C(=S)SSC(N(C)C)=S)(C)C,4.32029601826049
COP(=O)(N)SC,5.19537431180606
N(C(=S)SSC(N(C)C)=S)(C)C,4.64300653228067
COP(=O)(NC(=O)(C))SC,3.71877648742193
C1=CC=C(C=C1)NC(=O)NC2=CN=NS2,3.86579667362138
CCOP(=S)(NC(C)C)OC1=CC=CC=C1C(=O)OC(C)C,5.83934493677328
CC(=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC)SC,4.54957865212472
CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,5.3072756271046
NC(CCCC1)C1,3.22924248946341
CN1C=C(c2ccccc2)C(=O)C(c3cc(C(F)(F)F)ccc3)=C1,4.00572916683684
ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,5.91357931241363
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,3.29065345190954
OC(=O)CNCP(O)(O)=O,2.22807446683025
C1CNC(=S)N1,5.64754514108144
O=C(N(OC)C)Nc(ccc(c1Cl)Cl)c1,4.6004830749906
C1=CC=C2C(=C1)NC(=S)S2,2.34830823871711
CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,4.54479494223028
c(c(c(c(c1Cl)Cl)Cl)Cl)(c1Cl)Cl,5.99211484281248
COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,3.44172416093488
C1=CC(=CC=C1Cl)Cl,2.690201870583
CC(C)OC(=O)NC1=CC(=CC=C1)Cl,2.63075480518045
COP(=O)(OC)OC=C(Cl)Cl,5.01190613898164
CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O,5.84103248074378
CNC(=O)N(C)c1nnc(s1)C(C)(C)C,3.75647357868479
CCCCOCCOCCOCC1=CC2=C(C=C1CCC)OCO2,3.13153975286541
CC(C(=O)O)OC1=C(C=C(C=C1)Cl)Cl,4.41694364962485
CC1(C(C1C(=O)OC(C#N)C2=CC(=C(C=C2)F)OC3=CC=CC=C3)C=C(Cl)Cl)C,4.54086743953507
C(#N)c(c(c(c(c1C(#N))Cl)Cl)Cl)c1Cl,4.82267631193248
O=C(OCC)C(O)(c(ccc(c1)Cl)c1)c(ccc(c2)Cl)c2,4.24731476483975
O=C(N(C)C)Nc(ccc(c1)Cl)c1,3.2011773320931
O=C(N(SC(Cl)(Cl)Cl)C(=O)C1CC=CC2)C12,3.47797354595327
CCc1cccc(C)c1N(C(C)COC)C(=O)CCl,3.27691146056582
C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,4.64549583771218
CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N,5.2845529417803
C(C(C(C(C1Cl)Cl)Cl)Cl)(C1Cl)Cl,4.80088113268728
COP(=S)(OC)OC1=CC(=C(C=C1Cl)Cl)Cl,3.80827186579208
C1C2C=CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl,7.56218566972996
CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,4.19455618753918
CCN(CC)C(=O)C(C)OC1=CC=CC2=CC=CC=C21,3.43353645191675
ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,6.17413857281627
CC(=CC(=O)NC)OP(=O)(OC)OC,5.6954106911713
CC(C)C1(C)N=C(NC1(=O))c3nc2ccccc2cc3C(=O)(O),4.19219820184676
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,3.66220959497816
CC(C(=O)O)(Cl)Cl,3.45627084235452
CC1(C(C1C(=O)OC(C#N)C2=CC(=C(C=C2)F)OC3=CC=CC=C3)C=C(Cl)Cl)C,4.76271618915143
O=C(NC)CSP(OC)(OC)=S,4.6613534361142
C12C3(C4(C5(C3(C(C1(C5(C2(C4(Cl)Cl)Cl)Cl)Cl)(Cl)Cl)Cl)Cl)Cl)Cl,7.70850413051807
COC(=O)C1=CC=CC=C1C(=O)OC,1.98718344722018
CCOP(=S)(OCC)SCSC(C)(C)C,6.76107133056166
CCC(C)SP(=O)(OCC)SC(C)CC,6.0340541201743
CCOP(=S)(OCC)SCSC(C)(C)C,5.1590113392337
C1C(C(C(=O)N1C2=CC=CC(=C2)C(F)(F)F)Cl)CCl,4.79534478918374
O=C(O)C(C(C(=O)O)C(O1)CC2)C12,3.20919319571953
O=C(Oc(c(OC(C1)(C)C)c1cc2)c2)NC,4.64591798599928
Oc(c(c(c(c1)Cl)Cl)Cc(c(c(cc2Cl)Cl)Cl)c2O)c1Cl,4.9105214638308
CC1(CON(C1=O)CC2=CC=CC=C2Cl)C,4.04722605916309
CCC(C)N1C(=O)C(=C(NC1=O)C)Br,3.6209530011803
CC1=CC(=CC(=C1N(C)C)C)OC(=O)NC,5.17081600643967
CNC(=O)OC1=CC=CC(=C1)N=CN(C)C,4.24798445482129
CC1=NN(C(=O)N1C(F)F)C2=CC(=C(C=C2Cl)Cl)NS(=O)(=O)C,3.76184922452045
CCOP(=S)(CC)SC1=CC=CC=C1,4.6925459996104
CCOP(=S)(OCC)SC(CCl)N1C(=O)C2=CC=CC=C2C1=O,5.19738625502110
N1CC(C)(C)CNC1=NN=C(C=Cc2ccc(C(F)(F)F)cc2)C=Cc3ccc(C(F)(F)F)cc3,4.99517458001903
CC1=C(C(=C(C(=C1F)F)COC(=O)C2C(C2(C)C)C=C(C(F)(F)F)Cl)F)F,4.9591800647055
CC1=CC(=C(C=C1)N=CN(C)C=NC2=C(C=C(C=C2)C)C)C,4.45886884853594
S=P(OC)(OC)SCN1C(=O)SC(OC)=N1,5.57739312594126
CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,4.38691132629296
S=P(OC)(OC)SCN1N=Nc2ccccc2C1(=O),5.14932086869605
CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2CCC(F)(F)F,3.72005974473228
O=C(N(S(=O)(=O)Nc1cccc2)C(C)C)c12,3.77865560759679
CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1,4.34489545637121
O=C(ON=CC(SC)(C)C)NC,6.27935493374302
ClC(Cl)(Cl)CC1(OC1)c2cc(Cl)cc(Cl)c2,4.02860782189294
CCC1CCCC(C(C(=O)C2CC3C(C2CC(=O)O1)CCC4C3CC(C4)OC5CC(C(C(C5OC)OC)OC)C)C)OC6CCC(C(O6)C)N(C)C,4.48549336200642
CC(C)(C)C(=NOC(=O)NC)CSC,4.56093515068149
CON=C(CC1=CN=CC=C1)C2=C(C=C(C=C2)Cl)Cl,3.81685069684023
CC(=CC1C(C1(C)C)C(=O)OCN2C(=O)C3=C(C2=O)CCCC3)C,3.12242048929166
C1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,4.47732480426449
CCCOC(=O)C1=CN=C(C=C1)C(=O)OCCC,3.00221511481659
CC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC3COC3)C,3.68988952034363
C1=C(C(=NC(=C1Cl)Cl)OCC(=O)O)Cl,3.85273501931079
CCOCN1C(=C(C(=C1C(F)(F)F)Br)C#N)C2=CC=C(C=C2)Cl,4.47670895789257
CC(C)CC1=C(C(=NC(=C1C(=O)SC)C(F)(F)F)C(F)F)C(=O)SC,5.04368703263975
CC12CC1(C(=O)N(C2=O)C3=CC(=CC(=C3)Cl)Cl)C,4.27743796844594
CC1=CC(=C(C=C1)C(=O)OC)C2=NC(C(=O)N2)(C)C(C)C,3.76093729967937
COP(=S)(OC)OC1=NC(=C(C=C1Cl)Cl)Cl,5.03145309127161
CC(C)CC1=C(C(=NC(=C1C(=O)OC)C(F)F)C(F)(F)F)C2=NCCS2,3.95268441956944
CCOC(=O)C(CC1=CC(=C(C=C1Cl)F)N2C(=O)N(C(=N2)C)C(F)F)Cl,4.53591743757444
CC(C)=CC3C(C(=O)OCc2coc(Cc1ccccc1)c2)C3(C)C,3.4325717246993
CCCSP(=S)(OCC)OC1=CC=C(C=C1)SC,4.44776025923588
CC1=CC(=C(C(=C1)OC(=O)NC)C)C,3.513780491163
CC1=CC=CC=C1COC2CC3(CCC2(O3)C)C(C)C,3.26228942932097
CC1=C2C(=CC=C1)SC3=NN=CN23,3.78564431476757
CCC(=C1C(=O)CC(CC1=O)CC(C)SCC)NOCC=CCl,3.55619540984755
CCCN(CCC)C(=O)SCC,4.32294999482974
CC(C)OC(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC,3.82926385227003
COP(=S)(OC)Oc1ccc(SC)c(C)c1,4.87052572632858
COC1=C(C=C(C=C1)C(=CC(=O)N2CCOCC2)C3=CC=C(C=C3)Cl)OC,3.92309028461827
CCSC(=O)N(CC(C)C)CC(C)C,3.33720244245390
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1,4.42326053700057
CC(=CC1C(C1(C)C)C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C,3.36853572230648
CC1=CC(=CC(=C1C)C)OC(=O)NC,4.28610219788592
CCOP(=S)(OCC)SCSC1=CC=C(C=C1)Cl,5.53512353543065
C1CN(CCN1C(C(Cl)(Cl)Cl)NC=O)C(C(Cl)(Cl)Cl)NC=O,3.63845107729718
C(=CC=C1)(C2=C1)NC(=N2)C(=CS3)N=C3,5.00270088682186
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-],3.37340446386955
CCCC(=NOCC)C1C(=O)CC(CC1=O)CC(C)SCC,4.29612718117234
ClC2(Cl)C4(Cl)C1(Cl)C5(Cl)C(Cl)(Cl)C3(Cl)C1(Cl)C2(Cl)C3(Cl)C45Cl,5.89173094758972
CCN(C1CCCCC1)C(=O)SCC,4.85603479370532
CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2OCCCl,3.260038251795
C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F,2.70762229375841
CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC#C,3.49996484386965
C1C(COC1(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl)Br,4.76483992624863
C1=NNC(=N1)N,4.52675248773797
C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C(=C2F)Cl)F)Cl)F,4.16607614499238
C1=CC(=CC=C1OS(=O)(=O)C2=CC=C(C=C2)Cl)Cl,5.08373349418451
FC(F)(F)C(=CC(N(=O)=O)=C1N(C(C)C)C(C)C)C=C1N(=O)=O,2.52540641675307
CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC=C,3.60553192639024
C1=CC(=C(C(=C1)Cl)C#N)Cl,4.83761727241192
C1C(O1)COC2=CC=CC=C2C3=CC=CC=C3,2.65565785542345
CC1=CC=CC=C1OCC2=CC=CC=C2C(=NOC)C(=O)OC,2.92199532671878
O=N(=O)C(C(=C1N(=O)=O)N(C(C)C)C(C)C)=CC(=C1)S(=O)(=O)N,3.97297179822463
C1=CC(=C(C2=NC=C(C=C21)Cl)C(=O)O)Cl,2.50482391995124
CC(C)NC(=O)N1CC(=O)N(C1=O)C2=CC(=CC(=C2)Cl)Cl,3.85597533208895
CCCN(CCCl)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],3.24487034075484
C1=CC=C(C=C1)C2=CC=CC=C2O,2.23097792739447
O=C(N(C)C)Nc(cccc1C(F)(F)F)c1,4.18977535089103
C1=CC(=NC(=C1)Cl)C(Cl)(Cl)Cl,5.36343657222619
Clc1cc(Cl)cc(Cl)c1OCCN(CCC)C(=O)n2cncc2,4.7008945110302
CC1=CC(=C(C=C1NC(=O)C)NS(=O)(=O)C(F)(F)F)C,4.05086251778066
C(=C(I)I)(I)I,4.02664705683052
C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F,6.8624770260417
O=C(N(C)C)Nc(ccc(c1Cl)Cl)c1,4.57165200886706
CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC=C,4.09142710541740
CC1=CC2=C(C=C1)N=C3C(=N2)SC(=O)S3,4.49470628000702
CC(C)N(C(=O)CCl)c1ccccc1,3.96396832169828
CC(C)C1(C(=O)NC(=N1)C2=C(C=CC=N2)C(=O)O)C,2.71813034538638
CC1(C(C1(C)C)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C,4.25443178297333
CN1CN(C(=S)SC1)C,3.73313384224274
ClC(Cl)=CC1C(C)(C)C1C(=O)OC(C(#N))c2cccc(Oc3ccccc3)c2,3.74434218472656
ClC2C1OC1C3C2C4(Cl)C(=C(Cl)C3(Cl)C4(Cl)Cl)Cl,6.28927348401756
CCOC(=O)CN1C2=C(C=CC=C2Cl)SC1=O,4.33721159291063
CCCN(CCC)C1=C(C=C(C(=C1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-],4.0760849833355
C1=CC=C(C=C1)C(CCC2=CC=C(C=C2)Cl)(CN3C=NC=N3)C#N,3.92533540454444
CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,4.28689742390489
CC1=C(C=CC=C1COC(=O)C2C(C2(C)C)C=C(C(F)(F)F)Cl)C3=CC=CC=C3,4.92723460128442
C(=CC=C1)(C2=C1)NC(=N2)C(=CS3)N=C3,3.70167089115788
C1=C(C=C(C(=C1Cl)N)Cl)[N+](=O)[O-],3.13990879364539
CC1=C(C=C(C=C1C(=O)N)[N+](=O)[O-])[N+](=O)[O-],4.55660790505055
CC(C)OC1=CC=CC(=C1)NC(=O)C2=CC=CC=C2C(F)(F)F,2.81064866255668
OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,5.17083139418745
O=P(O)(O)CCCl,2.51051495802278
CN(C(=O)NC1=CC=C(C=C1)Br)OC,4.31655713179121
CC1=CC(=CC=C1)NC(=O)OC2=CC=CC(=C2)NC(=O)OC,4.0796286862285
CC(C)(C)C1=NN=C(S1)N2C(CN(C2=O)C)O,3.70982035175725
S=P(OCC)(OCC)Oc1ccc2C(C)=C(Cl)C(=O)Oc2c1,5.32917717728496
COC(=O)c1ccccc1S(=O)(=O)NC(=O)N(C)c2nc(OC)nc(C)n2,4.50011608554638
C1=CC=C(C(=C1)NC2=NC(=NC(=N2)Cl)Cl)Cl,5.37945812670042
